market_hash_name,date,median_price,volume,median_price_change_pct,volume_change_pct,median_price_7d_avg,volume_7d_avg
Fracture Case,2024-12-10 01:00:00+00:00,0.293,65730,0.003424657534246478,0.06084570690768243,0.2877142857142857,80628.0
Fracture Case,2024-12-11 01:00:00+00:00,0.284,102766,-0.030716723549488067,0.56345656473452,0.2884285714285714,79762.14285714286
Fracture Case,2024-12-12 01:00:00+00:00,0.285,84353,0.0035211267605634866,-0.1791740458906642,0.28842857142857137,79753.0
Fracture Case,2024-12-13 01:00:00+00:00,0.288,92246,0.010526315789473717,0.0935710644553247,0.2885714285714286,81057.85714285714
Fracture Case,2024-12-14 01:00:00+00:00,0.289,91728,0.003472222222222321,-0.005615419638791974,0.2885714285714286,82676.0
Fracture Case,2024-12-15 01:00:00+00:00,0.288,91450,-0.0034602076124568004,-0.0030306994592709247,0.28842857142857137,84319.0
Fracture Case,2024-12-16 01:00:00+00:00,0.295,90102,0.02430555555555558,-0.014740295243302337,0.2888571428571428,88339.28571428571
Fracture Case,2024-12-17 01:00:00+00:00,0.297,73346,0.006779661016949268,-0.18596701516059577,0.2894285714285714,89427.28571428571
Fracture Case,2024-12-18 01:00:00+00:00,0.286,109869,-0.03703703703703709,0.49795489869931564,0.2897142857142857,90442.0
Fracture Case,2024-12-19 01:00:00+00:00,0.281,112241,-0.01748251748251728,0.021589347313619056,0.28914285714285715,94426.0
Fracture Case,2024-12-20 01:00:00+00:00,0.286,117012,0.017793594306049654,0.04250674887073358,0.2888571428571428,97964.0
Fracture Case,2024-12-21 01:00:00+00:00,0.285,108946,-0.0034965034965035446,-0.06893310087854232,0.28828571428571426,100423.71428571429
Fracture Case,2024-12-22 01:00:00+00:00,0.286,97267,0.0035087719298245723,-0.10719989719677636,0.288,101254.71428571429
Fracture Case,2024-12-23 01:00:00+00:00,0.287,88399,0.0034965034965035446,-0.09117172319491706,0.28685714285714287,101011.42857142857
Fracture Case,2024-12-24 01:00:00+00:00,0.295,92237,0.027874564459930307,0.04341678073281363,0.28657142857142853,103710.14285714286
Fracture Case,2024-12-25 01:00:00+00:00,0.294,133240,-0.003389830508474634,0.44453960991792885,0.2877142857142857,107048.85714285714
Fracture Case,2024-12-26 01:00:00+00:00,0.294,115320,0.0,-0.1344941459021315,0.28957142857142854,107488.71428571429
Fracture Case,2024-12-27 01:00:00+00:00,0.297,114491,0.010204081632652962,-0.007188692334373914,0.2911428571428571,107128.57142857143
Fracture Case,2024-12-28 01:00:00+00:00,0.299,105323,0.006734006734006703,-0.08007616319186661,0.29314285714285715,106611.0
Fracture Case,2024-12-29 01:00:00+00:00,0.3,93632,0.0033444816053511683,-0.11100139570654088,0.2951428571428571,106091.71428571429
Fracture Case,2024-12-30 01:00:00+00:00,0.309,101124,0.030000000000000027,0.0800153793574847,0.2982857142857143,107909.57142857143
Fracture Case,2024-12-31 01:00:00+00:00,0.315,105285,0.01941747572815533,0.04114750207665829,0.30114285714285716,109773.57142857143
Fracture Case,2025-01-01 01:00:00+00:00,0.312,141334,-0.00952380952380949,0.3423944531509713,0.3037142857142857,110929.85714285714
Fracture Case,2025-01-02 01:00:00+00:00,0.309,114230,-0.009615384615384581,-0.19177268031754569,0.3058571428571429,110774.14285714286
Fracture Case,2025-01-03 01:00:00+00:00,0.313,101325,0.012944983818770295,-0.11297382473956052,0.30814285714285716,108893.28571428571
Fracture Case,2025-01-04 01:00:00+00:00,0.323,104133,0.03194888178913735,0.02771280532938558,0.31157142857142855,108723.28571428571
Fracture Case,2025-01-05 01:00:00+00:00,0.329,102700,0.018575851393188847,-0.013761247635235674,0.3157142857142857,110018.71428571429
Fracture Case,2025-01-06 01:00:00+00:00,0.342,103317,0.03951367781155013,0.006007789678675657,0.32042857142857145,110332.0
Fracture Case,2025-01-07 01:00:00+00:00,0.348,84984,0.01754385964912264,-0.17744417666018175,0.3251428571428572,107431.85714285714
Fracture Case,2025-01-08 01:00:00+00:00,0.346,130913,-0.005747126436781658,0.5404429069001224,0.33,105943.14285714286
Fracture Case,2025-01-09 01:00:00+00:00,0.35,107563,0.011560693641618602,-0.17836272944627352,0.33585714285714285,104990.71428571429
Fracture Case,2025-01-10 01:00:00+00:00,0.364,114298,0.040000000000000036,0.0626144678002658,0.34314285714285714,106844.0
Fracture Case,2025-01-11 01:00:00+00:00,0.373,114125,0.024725274725274637,-0.0015135872893663471,0.35028571428571426,108271.42857142857
Fracture Case,2025-01-12 01:00:00+00:00,0.383,102187,0.02680965147453085,-0.10460460021905804,0.35800000000000004,108198.14285714286
Fracture Case,2025-01-13 01:00:00+00:00,0.387,80049,0.010443864229765065,-0.21664203861547948,0.36442857142857144,104874.14285714286
Fracture Case,2025-01-14 01:00:00+00:00,0.386,79809,-0.0025839793281653423,-0.0029981636247797816,0.36985714285714283,104134.85714285714
Fracture Case,2025-01-15 01:00:00+00:00,0.356,131339,-0.07772020725388606,0.6456665288375998,0.37128571428571433,104195.71428571429
Fracture Case,2025-01-16 01:00:00+00:00,0.346,103113,-0.028089887640449507,-0.21490950898057704,0.37071428571428566,103560.0
Fracture Case,2025-01-17 01:00:00+00:00,0.355,99786,0.026011560693641744,-0.03226557272118935,0.3694285714285714,101486.85714285714
Fracture Case,2025-01-18 01:00:00+00:00,0.357,108760,0.005633802816901401,0.08993245545467299,0.36714285714285716,100720.42857142857
Fracture Case,2025-01-19 01:00:00+00:00,0.367,101737,0.02801120448179284,-0.06457337256344242,0.3648571428571429,100656.14285714286
Fracture Case,2025-01-20 01:00:00+00:00,0.37,84882,0.008174386920980936,-0.16567227262451223,0.36242857142857143,101346.57142857143
Fracture Case,2025-01-21 01:00:00+00:00,0.369,78232,-0.002702702702702675,-0.07834405409863099,0.36,101121.28571428571
Fracture Case,2025-01-22 01:00:00+00:00,0.353,118214,-0.04336043360433606,0.511069639022395,0.3595714285714285,99246.28571428571
